enrollment,percent-reduced-lunch,percent-disadvantaged,percent-limited-english,average-salary,student-teacher-ratio,student-counselor-ratio,percentage-female,teachers-experience,percentage-certified,Universal_ID,Hispanic,White,African American,Asian,Native Hawaiian or Other Pacific Islander,Two or more races,Native American,Asian or Pacific Islander
72.0,,,,,,,44.4444,,,3605242,43.0556,34.7222,19.4444,2.77778,0.0,0.0,0.0,
231.0,,,,,,,40.2597,,,3607320,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
513.0,49.51267,,31.5133,102982.15,9.79,,51.072124,12.5,100.0,3601714,66.276803,25.146198,2.534113,,0.0,3.31384,0.0,2.729044
303.0,20.462046,,9.77654,122886.8,10.32,,59.075907,0.0,100.0,3601716,31.023102,54.785478,2.640264,,0.0,4.620462,0.330033,6.60066
284.0,34.859154,,23.1034,109263.82,9.43,,46.478873,16.666666,100.0,3601711,50.704225,39.084507,4.577464,,0.0,2.112676,0.0,3.521126
587.0,3.066439,,0.0,100143.0,11.51,195.67,47.359454,3.921568,100.0,3607765,6.473594,74.787052,0.340715,,0.340715,3.918228,0.0,14.139693
1247.0,4.89174,,0.0,117754.02,11.77,162.0,48.516439,3.63306,100.0,3600514,5.372894,77.305533,0.721732,,0.0,4.330392,0.0,12.269446
1384.0,29.624277,,8.01124,120435.92,11.6,168.75,48.049132,5.154639,100.0,3601712,32.947976,56.791907,3.395953,,0.0,3.034682,0.0,3.829479
889.0,31.946006,,5.97166,131310.23,11.48,320.33,47.469066,10.752688,100.0,3601713,36.107986,53.430821,2.924634,,0.112485,3.59955,0.0,3.824521
394.0,2.284263,,1.93966,127063.5,13.84,,50.761421,0.0,100.0,3600515,5.076142,77.411167,0.507614,,0.0,3.045685,0.0,13.95939
406.0,8.374384,,3.61446,121311.87,12.26,,49.014778,8.823529,100.0,3601326,11.576354,79.55665,1.724137,,0.0,5.172413,0.0,1.970443
413.0,2.179176,,2.62582,107688.06,12.88,,48.910411,3.125,100.0,3600517,5.326876,72.639225,0.726392,,0.0,6.053268,0.0,15.254237
159.0,,,,,,,56.6038,,,3604394,12.5,79.6875,2.34375,2.34375,0.78125,2.34375,0.0,
249.0,,,,,,,98.3936,,,3607466,25.0,62.5,0.0,12.5,0.0,0.0,0.0,
443.0,7.900677,,3.1401,110238.91,13.0,,47.404063,0.0,100.0,3600513,5.64334,70.880361,1.580135,,0.0,3.611738,0.0,18.284424
248.0,2.82258,,1.0,125763.9,11.04,,49.193548,4.166666,100.0,3601717,9.677419,82.66129,1.612903,,0.0,3.225806,0.0,2.82258
625.0,5.439999,,1.0,119007.73,11.92,203.0,46.72,3.32681,99.60861,3600516,6.88,75.36,1.44,,0.0,4.16,0.0,12.16
435.0,3.67816,,0.0,157789.81,12.27,367.33,47.126436,0.0,100.0,3600422,6.206896,80.689655,0.45977,,0.45977,5.057471,0.0,7.126436
370.0,,,,,,,43.7838,,,3605738,1.8918896216220755,91.08108178378365,5.675678864864227,1.351349729730054,0.0,0.0,0.0,
173.0,,,,,,,59.5376,,,3607955,12.4183,84.9673,1.30719,1.30719,0.0,0.0,0.0,
790.0,3.92405,,0.0,107665.32,9.18,159.8,47.594936,0.0,100.0,3600421,5.063291,89.620253,0.632911,,0.0,0.126582,0.0,4.556962
542.0,5.166051,,0.0,122366.43,11.63,376.66,48.339483,2.040816,100.0,3600424,8.302583,79.151291,0.184501,,0.0,3.874538,0.184501,8.302583
532.0,3.947368,,1.0,131504.15,9.76,175.67,50.375939,0.0,100.0,3600423,5.451127,84.210526,0.751879,,0.0,2.631578,0.187969,6.766917
64.0,,,,,,,50.0,,,3613177,3.125,84.375,12.5,0.0,0.0,0.0,0.0,
17.0,,,,,,,11.7647,,,3608056,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
574.0,10.801393,,4.01338,101148.64,12.52,,51.045296,0.0,100.0,3603280,16.724738,71.602787,1.219512,,0.0,4.878048,0.174216,5.400696
15.0,,,,,,,93.3333,,,3607494,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
548.0,12.408759,,1.0,94815.51,10.96,261.5,46.350364,2.096436,100.0,3603282,11.131386,77.372262,1.642335,,0.0,4.379562,0.0,5.474452
102.0,,,,,,,76.4706,,,3605217,6.0,78.0,8.0,6.0,0.0,2.0,0.0,
132.0,,,,,,,92.4242,,,3607317,6.25,56.25,12.5,25.0,0.0,0.0,0.0,
581.0,15.66265,,1.16473,94846.36,9.92,148.0,45.094664,6.700167,100.0,3603281,8.261617,82.444061,1.72117,,0.0,1.376936,0.172117,6.024096
745.0,58.657718,,8.34455,114258.9,14.56,,47.248322,16.0,100.0,3603146,64.295302,20.402684,7.785234,,0.268456,4.026845,0.134228,3.087248
508.0,1.968503,,1.54639,90146.59,10.5,525.0,50.787401,0.0,100.0,3600319,10.03937,62.598425,1.181102,,0.0,8.267716,0.0,17.913385
468.0,11.538461,,4.43548,108148.05,10.83,,44.017094,0.0,100.0,3604185,13.675213,69.017094,3.632478,,0.0,4.487179,0.0,9.188034
568.0,4.929577,,0.0,99858.19,9.34,137.75,44.366197,0.0,100.0,3600318,7.922535,72.183098,4.401408,,0.0,0.880281,0.0,14.612676
355.0,0.84507,,0.0,99260.33,11.22,359.0,42.816901,0.0,100.0,3600320,7.887323,72.112676,1.69014,,0.28169,3.098591,0.0,14.929577
538.0,6.319702,,1.01868,93150.63,10.82,138.5,49.814126,0.0,100.0,3601741,12.081784,83.085501,0.929368,,0.0,0.929368,0.0,2.973977
438.0,8.219178,,1.0,82434.12,9.45,222.0,47.031963,2.127659,100.0,3601742,13.013698,80.136986,0.456621,,0.0,0.684931,0.0,5.707762
671.0,,,,,,,50.8197,,,3604332,12.667697973168325,73.47238824441789,3.2786894754096845,9.836068426229053,0.0,0.0,0.7451558807750592,
355.0,58.591549,,11.3372,116509.85,14.73,,47.605633,15.384615,100.0,3606439,58.028169,22.253521,12.957746,,0.0,3.098591,0.0,3.661971
450.0,7.777777,,1.78971,92817.49,11.76,870.0,44.222222,2.702702,100.0,3601739,15.777777,77.333333,1.111111,,0.0,0.666666,0.0,5.111111
474.0,5.696202,,2.08768,122517.48,14.0,,48.101265,12.121212,100.0,3601323,9.915611,78.059071,1.476793,,0.0,7.172995,0.0,3.375527
510.0,6.274509,,2.57732,112848.1,10.59,501.0,51.568627,0.0,100.0,3603671,14.509803,78.431372,1.568627,,0.0,3.333333,0.0,2.156862
576.0,,,,,,,60.2431,,,3604459,16.260187967460904,66.6666506666785,3.0487777439044694,5.894305638213828,0.0,7.7235742845550295,0.4065036991872626,
829.0,10.253317,,0.742574,116278.91,11.47,270.67,48.612786,4.237288,100.0,3604187,17.490952,69.963811,2.895054,,0.120627,2.412545,0.120627,6.996381
694.0,7.492795,,0.0,126020.99,11.04,250.33,47.838616,7.352941,100.0,3601324,10.518731,80.835734,0.720461,,0.0,5.187319,0.144092,2.593659
1086.0,9.85267,,0.630631,97955.44,10.91,183.67,50.0,0.990099,100.0,3603674,7.274401,86.740331,1.381215,,0.0,0.644567,0.0,3.959484
1049.0,6.387035,,0.43554,134218.72,12.46,151.29,50.619637,4.705882,100.0,3601325,9.34223,83.031458,0.190657,,0.0,4.575786,0.285986,2.573879
1128.0,11.524822,,0.4914,116979.75,12.11,166.29,48.404255,3.121748,100.0,3604189,12.056737,75.265957,3.368794,,0.088652,2.748226,0.088652,6.382978
704.0,62.78409,,12.8171,93835.05,12.76,,48.153409,18.965517,100.0,3603147,65.340909,18.607954,8.522727,,0.0,4.119318,0.0,3.40909
282.0,7.092198,,5.27859,115800.92,10.54,,48.22695,6.756756,100.0,3601715,10.638297,78.014184,0.354609,,0.0,6.737588,0.0,4.255319
1085.0,59.723502,,7.14286,95595.39,12.95,362.67,48.847926,25.0,100.0,3603145,60.552995,21.290322,9.400921,,0.092165,3.225806,0.0,5.437788
473.0,6.342494,,3.5,105544.45,13.08,,52.431289,2.631578,100.0,3604188,16.279069,75.475687,2.114164,,0.211416,1.057082,0.0,4.862579
7.0,,,,,,,85.7143,,,3605801,28.5714,14.2857,57.1429,0.0,0.0,0.0,0.0,
1562.0,51.664532,,9.08414,108896.04,13.54,216.57,48.911651,11.607142,100.0,3603148,55.761843,23.81562,13.444302,,0.12804,2.496798,0.12804,4.225352
565.0,6.902654,,3.56537,96598.71,12.55,593.0,45.840707,0.63492,100.0,3600660,15.221238,73.805309,0.707964,,0.176991,3.008849,0.0,7.079646
323.0,21.362229,,3.11526,48000.0,9.11,,46.439628,0.0,100.0,3603908,29.102167,50.154798,6.501547,,0.0,6.501547,0.619195,7.120743
578.0,39.619377,,16.4835,106032.57,13.57,,48.269896,25.0,100.0,3603149,66.782006,20.761245,5.882352,,0.0,2.941176,0.0,3.633217
476.0,4.831932,,3.38164,95627.99,14.31,1116.0,46.638655,0.0,100.0,3601740,14.285714,77.521008,0.0,,0.0,2.941176,0.210084,5.042016
36.0,,,,,,,0.0,,,3613708,22.2222,0.0,77.7778,0.0,0.0,0.0,0.0,
328.0,18.902439,,1.62602,0.0,8.65,160.0,47.256097,10.81081,100.0,3603905,26.219512,52.743902,9.756097,,0.304878,3.353658,0.304878,7.317073
454.0,18.502202,,1.41988,5108.33,9.73,165.33,53.744493,9.803921,100.0,3603907,22.46696,59.911894,8.370044,,0.220264,1.762114,0.440528,6.828193
587.0,10.56218,,0.930851,106319.62,10.73,634.0,47.189097,0.0,100.0,3603672,12.947189,80.579216,0.681431,,0.170357,1.362862,0.170357,4.088586
506.0,12.648221,,1.0,103132.01,11.35,171.0,52.569169,3.9823,100.0,3600661,16.798418,71.146245,4.743083,,0.197628,1.18577,0.197628,5.731225
497.0,11.468812,,1.94175,107594.52,11.67,,47.283702,4.444444,100.0,3604186,16.901408,70.623742,3.219315,,0.201207,2.213279,0.0,6.841046
502.0,9.561752,,1.68539,100131.48,11.0,251.0,46.812749,7.009857,100.0,3600662,19.521912,68.12749,1.593625,,0.0,3.585657,0.0,7.171314
756.0,9.126984,,0.731707,105170.16,10.72,257.33,49.074074,1.388888,100.0,3603673,6.349206,87.830687,1.058201,,0.0,0.925925,0.0,3.835978
916.0,24.563318,,1.67015,101086.36,12.74,182.8,50.0,0.0,100.0,3601396,22.161572,64.737991,7.860262,,0.0,0.764192,0.0,4.475982
72.0,,,,,,,23.6111,,,3607539,15.277793888882444,52.77777888888844,24.999990000004,0.0,0.0,6.944437222225111,0.0,
312.0,19.871794,,2.16606,128014.39,8.89,320.0,52.564102,19.444444,100.0,3603283,26.602564,40.064102,12.820512,,0.320512,7.051282,0.320512,12.820512
241.0,,,,,,,48.5477,,,3608564,33.1428867428453,32.57138697144521,23.428590628563747,3.99999840000064,0.0,6.857137257145098,0.0,
449.0,6.904231,,0.0,90961.32,12.18,,51.447661,5.063291,100.0,3601394,16.258351,72.60579,3.11804,,0.0,2.672605,0.0,5.345211
1323.0,23.809523,,1.03093,101222.74,11.35,224.83,50.340136,1.683076,100.0,3601390,20.710506,66.742252,5.971277,,0.151171,2.040816,0.302343,4.081632
513.0,30.409356,,1.67224,121037.57,10.26,186.0,51.851851,0.0,100.0,3601122,27.48538,57.699805,6.042884,,0.0,5.068226,0.194931,3.508771
239.0,12.552301,,7.0,112896.72,10.35,,44.351464,0.0,100.0,3601125,20.920502,66.108786,2.92887,,0.0,6.27615,0.41841,3.34728
524.0,15.076335,,2.04082,100266.25,12.1,,43.70229,2.286759,100.0,3601389,16.603053,70.229007,6.297709,,0.0,1.717557,0.572519,4.580152
396.0,12.878787,,0.0,86140.85,12.85,,49.747474,4.545454,100.0,3601393,22.979797,62.878787,4.797979,,0.252525,4.797979,0.0,4.292929
95.0,,,,,,,96.8421,,,3613744,10.0,80.0,0.0,10.0,0.0,0.0,0.0,
997.0,21.16349,,0.0,102396.36,11.73,198.4,50.150451,3.546099,100.0,3601392,16.248746,72.417251,5.215646,,0.300902,0.401203,0.0,5.416248
299.0,14.38127,,6.41026,0.0,7.95,,46.153846,0.0,100.0,3603906,28.428093,54.849498,6.020066,,0.0,5.685618,0.334448,4.682274
331.0,4.229607,,1.0,124377.92,11.97,,46.525679,3.448275,100.0,3601328,9.969788,74.320241,2.114803,,0.0,8.761329,0.302114,4.531722
278.0,,,,,,,50.7194,,,3604333,6.772908645418271,80.47808390438321,3.585659282868143,3.1872493625501273,1.1952197609560478,4.780879043824191,0.0,
582.0,25.601374,,1.93237,104044.54,11.07,,46.563573,2.922267,100.0,3601395,28.694158,54.295532,8.934707,,0.343642,4.123711,0.343642,3.264604
850.0,53.294117,,11.4983,112935.4,12.38,168.4,51.647058,2.205882,100.0,3603834,57.764705,33.529411,4.235294,,0.0,2.352941,0.0,2.117647
422.0,25.35545,,4.36681,103227.56,11.82,,46.445497,2.919708,100.0,3601391,32.701421,47.867298,7.109004,,0.0,4.502369,0.236966,7.582938
625.0,59.68,,14.3098,100051.41,11.06,199.0,50.08,12.962962,100.0,3608834,64.48,27.839999,2.56,,0.0,2.56,0.0,2.56
630.0,61.111111,,20.1471,109066.68,11.41,,44.920634,0.0,100.0,3604090,64.444444,15.873015,11.111111,,0.0,3.650793,0.0,4.920634
413.0,55.932203,,24.1299,108796.71,11.41,,46.246973,8.152173,100.0,3603836,62.711864,28.571428,2.905569,,0.24213,3.631961,0.0,1.937046
