id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3605242,The Karafin School,private,"9,10,11,12",h,Mount Kisco,NY,10549,,41.204262,-73.727074,,,0.3482603427492015
3607320,Talmud Torah Bais Yechiel-Nitra,private,"PK,KG,1,2,3,4,5,6,7,8,9","p,e,m",Mount Kisco,NY,11211,,41.204262,-73.727074,,,0.3482603427492015
3601714,Mount Kisco Elementary School,public,"KG,1,2,3,4,5",e,Mount Kisco,NY,10549,Bedford Central School District,41.202629,-73.728523,5,2020.0,0.4517340897510781
3601716,West Patent Elementary School,public,"KG,1,2,3,4,5,UG",e,Bedford Hills,NY,10507,Bedford Central School District,41.214245,-73.70285,7,2020.0,1.113519020219469
3615676,The Country Childrens Center,private,"PK,KG","p,e",Bedford Hills,NY,10507,,41.234066,-73.703079,,,2.197748952986939
3608063,Yeshiva and Mesivta Ohel Shmuel,private,"7,8,9,10,11,12","m,h",Bedford Hills,NY,10507,,41.241428,-73.713654,,,2.53695552213951
3601711,Bedford Hills Elementary School,public,"KG,1,2,3,4,5,UG",e,Bedford Hills,NY,10507,Bedford Central School District,41.236546,-73.693375,5,2020.0,2.5906651173773096
3607765,Seven Bridges Middle School,public,"5,6,7,8","e,m",CHAPPAQUA,NY,10514,Chappaqua Central School District,41.207047,-73.77224,9,2020.0,2.6950555507226563
3600514,Horace Greeley High School,public,"9,10,11,12,UG",h,Chappaqua,NY,10514,Chappaqua Central School District,41.174381,-73.755005,9,2020.0,2.7788352368051497
3601712,Fox Lane High School,public,"9,10,11,12,UG",h,Bedford,NY,10549,Bedford Central School District,41.196529,-73.662567,6,2020.0,3.0669941093864566
3601713,Fox Lane Middle School,public,"6,7,8,UG",m,Bedford,NY,10549,Bedford Central School District,41.196529,-73.662567,5,2020.0,3.0669941093864566
3600515,Roaring Brook School,public,"KG,1,2,3,4",e,Chappaqua,NY,10514,Chappaqua Central School District,41.181339,-73.777481,8,2020.0,3.3877989113549654
3614744,Chappaqua Chldrns Wrkshp Dc 5,private,"PK,KG","p,e",Chappaqua,NY,10514,,41.181595,-73.777985,,,3.4022814321398833
3601326,Katonah Elementary School,public,"KG,1,2,3,4,5",e,Katonah,NY,10536,Katonah-Lewisboro Union Free School District,41.249874,-73.692711,8,2020.0,3.415120173487268
3600517,Westorchard School,public,"KG,1,2,3,4",e,Chappaqua,NY,10514,Chappaqua Central School District,41.19202,-73.789978,10,2020.0,3.7248305516547155
3604394,St Patrick's School,private,"PK,KG,1,2,3,4,5,6,7,8,9","p,e,m",Bedford,NY,10506,,41.200134,-73.645668,,,3.903031863993935
3607466,World Cup Nursery School & Kindergarten,private,"PK,KG","p,e",Chappaqua,NY,10514,,41.162823,-73.771332,,,3.939248698224117
3605450,Rippowam Cisqua School,private,"PK,KG,1,2,3,4,5,6,7,8,9","p,e,m",Bedford,NY,10506,,41.204262,-73.643738,,,3.988704872805001
3600513,Douglas G Grafflin School,public,"KG,1,2,3,4",e,Chappaqua,NY,10514,Chappaqua Central School District,41.154274,-73.757622,8,2020.0,4.006480917643258
3611055,Lissie's Playschool Child Care Center,private,"PK,KG","p,e",Katonah,NY,10536,,41.257526,-73.685753,,,4.048358333229771
3601717,Bedford Village Elementary School,public,"KG,1,2,3,4,5,UG",e,BEDFORD,NY,10506,Bedford Central School District,41.205795,-73.64006,6,2020.0,4.179760895770937
3600516,Robert E Bell School,public,"5,6,7,8","e,m",Chappaqua,NY,10514,Chappaqua Central School District,41.156288,-73.771599,9,2020.0,4.293232629525147
3600422,Coman Hill School,public,"KG,1,2",e,Armonk,NY,10504,Byram Hills Central School District,41.145649,-73.685379,,,4.492690792498789
3605738,The Harvey School,private,"6,7,8,9,10,11,12","m,h",Katonah,NY,10536,,41.258198,-73.664391,,,4.686553928939814
3607955,St Patrick School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Yorktown Heights,NY,10598,,41.267807,-73.772728,,,5.115216796947817
3600421,Byram Hills High School,public,"9,10,11,12,UG",h,ARMONK,NY,10504,Byram Hills Central School District,41.134598,-73.689819,10,2020.0,5.123283457815005
3600424,Wampus School,public,"3,4,5,UG",e,Armonk,NY,10504,Byram Hills Central School District,41.128529,-73.709351,9,2020.0,5.3199038115003665
3600423,H C Crittenden Middle School,public,"6,7,8,UG",m,Armonk,NY,10504,Byram Hills Central School District,41.126884,-73.705948,9,2020.0,5.454571439223533
3613177,Soundview Preparatory School,private,"7,8,9,10,11,12","m,h",Yorktown Heights,NY,10598,,41.268482,-73.784973,,,5.5165384567586715
3608056,The Westfield Day School,private,"7,8,9,10,11,12","m,h",Armonk,NY,10504,,41.125034,-73.696556,,,5.667975691898542
3603280,Bedford Road School,public,"KG,1,2,3,4,UG",e,Pleasantville,NY,10570,Pleasantville Union Free School District,41.138615,-73.785019,8,2020.0,5.6882280935041685
3607494,Bright Beginnings Pre School,private,"PK,KG","p,e",Yorktown Heights,NY,10598,,41.276237,-73.780273,,,5.8168739980364625
3603282,Pleasantville Middle School,public,"5,6,7,8,UG","e,m",Pleasantville,NY,10570,Pleasantville Union Free School District,41.134647,-73.784096,6,2020.0,5.884674462823269
3605217,Our Montessori School,private,"PK,KG,1,2,3,4,5,6","p,e",Yorktown Heights,NY,10598,,41.27866,-73.777687,,,5.890092211714118
3607317,Montessori Childrens Room,private,"PK,KG,1","p,e",Armonk,NY,10504,,41.118484,-73.718575,,,5.983275131420333
3603281,Pleasantville High School,public,"9,10,11,12,UG",h,Pleasantville,NY,10570,Pleasantville Union Free School District,41.132889,-73.784653,9,2020.0,6.001588850087614
3607421,The Seed Day Care Center,private,UG,"e,m,h",Yorktown Heights,NY,10598,,41.2789,-73.789299,,,6.230030322989548
3612985,The Seed Day Care Center,private,"PK,KG","p,e",Yorktown Heights,NY,10598,,41.279114,-73.789154,,,6.23782544397082
3603146,Brookside School,public,"1,2,3,UG",e,OSSINING,NY,10562,Ossining Union Free School District,41.174435,-73.834023,,,6.272580685249855
3600319,Todd Elementary School,public,"KG,1,2,3,4,5",e,Briarcliff Manor,NY,10510,Briarcliff Manor Union Free School District,41.147865,-73.817368,9,2020.0,6.404723675544012
3604185,Brookside School,public,"PK,KG,1,2,3,UG","p,e",Yorktown Heights,NY,10598,Yorktown Central School District,41.286362,-73.781158,5,2020.0,6.441405172306659
3600318,Briarcliff High School,public,"9,10,11,12,UG",h,Briarcliff Manor,NY,10510,Briarcliff Manor Union Free School District,41.134243,-73.812683,8,2020.0,6.852345682080853
3600320,Briarcliff Middle School,public,"6,7,8",m,Briarcliff Manor,NY,10510,Briarcliff Manor Union Free School District,41.134243,-73.812683,7,2020.0,6.852345682080853
3601741,Westlake High School,public,"9,10,11,12",h,Thornwood,NY,10594,Mount Pleasant Central School District,41.110928,-73.764702,7,2020.0,6.899686206767992
3601742,Westlake Middle School,public,"6,7,8",m,Thornwood,NY,10594,Mount Pleasant Central School District,41.110928,-73.764702,6,2020.0,6.899686206767992
3604332,John F Kennedy Catholic High School,private,"9,10,11,12",h,Somers,NY,10589,,41.302849,-73.68895,,,6.951421700821455
3604391,St Theresa School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Briarcliff Manor,NY,10510,,41.151524,-73.834427,,,6.986643593025713
3607513,Noah's Ark Christian Academy,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Ossining,NY,10562,,41.167198,-73.845703,,,7.018363428486212
3606439,Roosevelt School,public,"4,5,6,UG",e,Ossining,NY,10562,Ossining Union Free School District,41.166576,-73.84655,5,2020.0,7.075320317645743
0901335,Whitby School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Greenwich,CT,06831,,41.114079,-73.655113,,,7.147008090273031
3601739,Columbus Elementary School,public,"3,4,5,7","e,m",Thornwood,NY,10594,Mount Pleasant Central School District,41.108791,-73.773804,6,2020.0,7.207784557644749
3613443,EF Academy New York,private,"9,10,11,12",h,Thornwood,NY,10594,,41.106934,-73.768387,,,7.224353461667516
3601323,Increase Miller Elementary School,public,"KG,1,2,3,4,5,UG",e,GOLDENS BRIDGE,NY,10526,Katonah-Lewisboro Union Free School District,41.293827,-73.646584,9,2020.0,7.234439894615185
3603671,Primrose School,public,"KG,1,2",e,LINCOLNDALE,NY,10540,Somers Central School District,41.30983,-73.715332,,,7.243214609715785
3604459,St Augustine School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Ossining,NY,10562,,41.167747,-73.850731,,,7.248007257633564
3604187,Mildred E Strang Middle School,public,"6,7,8,UG",m,Yorktown Heights,NY,10598,Yorktown Central School District,41.291058,-73.80101,7,2020.0,7.266934271191917
